Settings,Ordine,Area,Gap,Time

Scenario:1 NsMax:1,17,30435.84,0.0%,0.9739999771118164
Scenario:1 NsMax:1,24,32094.72,0.0%,66.02100014686584
Scenario:1 NsMax:2,17,28457.856,0.0%,116.38499999046326
Scenario:1 NsMax:2,24,30942.0,31.74%,1801.223000049591
Scenario:2 NsMax:1,17,29921.28,0.0%,202.77500009536743
Scenario:2 NsMax:1,24,32094.72,25.11%,1804.481999874115
Scenario:2 NsMax:2,17,28237.92,4.26%,1800.920000076294
Scenario:2 NsMax:2,24,30829.952,63.94%,1803.632000207901
Scenario:3 NsMax:2,17,27711.648,7.21%,1800.891000032425
Scenario:3 NsMax:2,24,31096.224,100.0%,1817.7179999351501
Scenario:1 NsMax:1,8,1720.128,0.0%,0.0840001106262207
Scenario:1 NsMax:1,10,1950.768,0.0%,0.6449999809265137
Scenario:1 NsMax:1,22,12749.4,2.78%,1800.281000137329
Scenario:1 NsMax:1,23,7099.392,0.0%,145.66799998283386
Scenario:1 NsMax:2,8,1590.228,0.0%,3.5820000171661377
Scenario:1 NsMax:2,10,1876.752,0.0%,15.88700008392334
Scenario:1 NsMax:2,22,11393.784,18.71%,1801.7650001049042
Scenario:1 NsMax:2,23,6886.944,33.32%,1803.12299990654
Scenario:2 NsMax:1,8,1720.128,0.0%,7.476999998092651
Scenario:2 NsMax:1,10,1893.312,0.0%,210.36800003051758
Scenario:2 NsMax:1,22,12853.152,81.57%,1801.143000125885
Scenario:2 NsMax:1,23,7303.168,85.21%,1807.2599999904633
Scenario:2 NsMax:2,8,1590.228,0.0%,44.52300000190735
Scenario:2 NsMax:2,10,1804.736,54.02%,1800.3280000686646
Scenario:2 NsMax:2,22,11195.898,96.31%,1800.8150000572205
Scenario:2 NsMax:2,23,7078.354,100.0%,1800.7750000953674
Scenario:3 NsMax:2,8,1590.228,0.0%,89.4210000038147
Scenario:3 NsMax:2,10,1806.432,49.78%,1800.6019999980927
Scenario:3 NsMax:2,22,11214.852,100.0%,1801.0769999027252
Scenario:3 NsMax:2,23,6608.948,100.0%,1800.6319999694824
