Stock_Length,Stock_Width,Panels,Items,Columns
1400,2300.0,33,[48],"(2,)"
1400,2300.0,280,"[39, 57]","(1, 1)"
1400,2300.0,55,"[33, 34]","(1, 2)"
1400,2300.0,30,"[25, 63]","(1, 1)"
1400,2300.0,184,"[23, 53]","(2, 1)"
1400,2300.0,4,[22],"(4,)"
1400,2300.0,184,"[21, 65]","(1, 1)"
1400,2300.0,184,"[20, 64]","(1, 1)"
1400,2300.0,20,"[18, 62]","(1, 1)"
1400,2300.0,4,[16],"(4,)"
1400,2300.0,3,[15],"(4,)"
1400,2300.0,14,"[14, 61]","(1, 1)"
1400,2300.0,300,"[13, 52]","(2, 1)"
1400,2300.0,100,[12],"(6,)"
1400,2300.0,100,"[11, 27]","(1, 3)"
1400,2300.0,18,"[10, 19]","(5, 2)"
1400,2300.0,55,"[9, 38]","(2, 2)"
1400,2300.0,55,"[8, 41]","(2, 2)"
1400,2300.0,46,"[6, 30]","(1, 3)"
1400,2300.0,46,"[4, 31]","(1, 3)"
1400,2300.0,10,"[2, 17]","(26, 2)"
1400,2300.0,44,"[1, 47]","(2, 2)"
1400,1860.0,65,[49],"(2,)"
1400,1860.0,147,"[42, 55]","(1, 1)"
1400,1860.0,680,"[40, 51]","(1, 1)"
1400,1860.0,220,"[37, 56]","(1, 1)"
1400,1860.0,270,"[36, 59]","(1, 1)"
1400,1860.0,220,"[35, 58]","(1, 1)"
1400,1860.0,110,"[32, 54]","(1, 1)"
1400,1860.0,45,"[29, 46]","(2, 1)"
1400,1860.0,680,"[28, 60]","(1, 1)"
1400,1860.0,23,[26],"(4,)"
1400,1860.0,340,"[24, 50]","(2, 1)"
1400,1860.0,65,"[7, 43]","(2, 2)"
1400,1860.0,74,"[5, 45]","(2, 2)"
1400,1860.0,15,"[3, 44]","(2, 2)"
